Ministry,From Year,To Year,Similarity
CHEMICALS AND FERTILIZERS,2009,2010,0.0384784763451464
CHEMICALS AND FERTILIZERS,2010,2011,0.0455083449409377
CHEMICALS AND FERTILIZERS,2011,2012,0.054023036896367116
CHEMICALS AND FERTILIZERS,2012,2013,0.055094510930890496
CHEMICALS AND FERTILIZERS,2013,2014,0.05411744388794843
CHEMICALS AND FERTILIZERS,2014,2015,0.05383594514629917
CHEMICALS AND FERTILIZERS,2015,2016,0.053591292965755
CHEMICALS AND FERTILIZERS,2016,2017,0.054419826513749554
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2009,2010,0.0403325387729455
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2010,2011,0.045115402728081754
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2011,2012,0.048110075455277374
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2012,2013,0.04850802487361767
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2013,2014,0.04722808735102309
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2014,2015,0.04819912844311818
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2015,2016,0.047856106875693416
"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",2016,2017,0.049290011405135226
FINANCE,2009,2010,0.029851351873814824
FINANCE,2010,2011,0.03142119069496915
FINANCE,2011,2012,0.03437868515655206
FINANCE,2012,2013,0.034570110659030304
FINANCE,2013,2014,0.03363688784833432
FINANCE,2014,2015,0.033848178817177305
FINANCE,2015,2016,0.03424035498985151
FINANCE,2016,2017,0.03441144482452352
HUMAN RESOURCE DEVELOPMENT,2009,2010,0.03654803903957033
HUMAN RESOURCE DEVELOPMENT,2010,2011,0.03934547284271376
HUMAN RESOURCE DEVELOPMENT,2011,2012,0.04140699711128019
HUMAN RESOURCE DEVELOPMENT,2012,2013,0.0409631558491622
HUMAN RESOURCE DEVELOPMENT,2013,2014,0.04122976600682024
HUMAN RESOURCE DEVELOPMENT,2014,2015,0.04140396441963732
HUMAN RESOURCE DEVELOPMENT,2015,2016,0.041087822035346507
HUMAN RESOURCE DEVELOPMENT,2016,2017,0.0410094844269488
LAW & JUSTICE,2009,2010,0.04419940844013317
LAW & JUSTICE,2010,2011,0.048335288136435964
LAW & JUSTICE,2011,2012,0.051962044659123914
LAW & JUSTICE,2012,2013,0.05314666020597179
LAW & JUSTICE,2013,2014,0.05196287478080924
LAW & JUSTICE,2014,2015,0.05113610691688256
LAW & JUSTICE,2015,2016,0.050237088614315965
LAW & JUSTICE,2016,2017,0.05140153635041956
